model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
random_forest,0.9959357613542201,0.9960491516057655,0.9957640498579985,0.9959039327666318,0.9959398483874626,0.9959357613542201,0.9959351772127291
mlp,0.9820068658012074,0.9822209340102416,0.9815270957289135,0.9818583513157881,0.9820247570012939,0.9820068658012074,0.9820003889374734
svm,0.4840784437517263,0.4965495887677655,0.49682648467727464,0.4784011220631278,0.500205412991823,0.4840784437517263,0.4736922088773878
