model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
random_forest,0.9957779268437044,0.995273665187575,0.9964101896150792,0.9958384810003519,0.9957914847434303,0.9957779268437044,0.9957818896223092
mlp,0.9872548632758553,0.9841813991594968,0.9913322564665673,0.987662562211894,0.9874745186957161,0.9872548632758553,0.9872817549386346
svm,0.510002762103934,0.5497946611165997,0.5197285485126883,0.5247541492216878,0.5420621088011409,0.510002762103934,0.5183736502374973
